innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,222.15,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,196.82,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,195.25,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,191.03,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,206.73,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,191.8,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,201.32,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,197.53,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,202.23,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,181.9,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,193.74,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,195.18,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,208.22,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,219.97,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,209.34,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,219.47,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,191.89,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,217.15,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,215.0,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,217.81,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,192.62,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,214.73,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,229.16,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,230.89,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,191.98,oltp_read_write,64,5000000,4
