id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
127,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,281.0,64-1000000-4-oltp_write_only-0.2
128,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,241.75,64-1000000-4-oltp_write_only-0.2
129,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,242.54,64-1000000-4-oltp_write_only-0.2
130,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,255.41,64-1000000-4-oltp_write_only-0.2
131,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,249.96,64-1000000-4-oltp_write_only-0.2
132,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,248.07,64-1000000-4-oltp_write_only-0.2
133,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,250.43,64-1000000-4-oltp_write_only-0.2
134,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,253.29,64-1000000-4-oltp_write_only-0.2
135,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,259.51,64-1000000-4-oltp_write_only-0.2
136,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,248.45,64-1000000-4-oltp_write_only-0.2
137,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,262.77,64-1000000-4-oltp_write_only-0.2
138,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,329.3,64-1000000-4-oltp_write_only-0.2
139,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,334.02,64-1000000-4-oltp_write_only-0.2
140,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,211.75,64-1000000-4-oltp_write_only-0.2
141,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,248.69,64-1000000-4-oltp_write_only-0.2
142,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,252.44,64-1000000-4-oltp_write_only-0.2
143,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,254.52,64-1000000-4-oltp_write_only-0.2
144,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,253.0,64-1000000-4-oltp_write_only-0.2
145,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,238.63,64-1000000-4-oltp_write_only-0.2
146,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,239.5,64-1000000-4-oltp_write_only-0.2
147,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,235.43,64-1000000-4-oltp_write_only-0.2
148,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,161.45,64-1000000-4-oltp_write_only-0.2
149,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,247.79,64-1000000-4-oltp_write_only-0.2
150,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,258.25,64-1000000-4-oltp_write_only-0.2
151,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,278.64,64-1000000-4-oltp_write_only-0.2
152,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,246.49,64-1000000-4-oltp_write_only-0.2
153,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,254.37,64-1000000-4-oltp_write_only-0.2
154,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,254.65,64-1000000-4-oltp_write_only-0.2
155,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,251.26,64-1000000-4-oltp_write_only-0.2
156,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,268.38,64-1000000-4-oltp_write_only-0.6
157,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,320.21,64-1000000-4-oltp_write_only-0.6
158,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,323.19,64-1000000-4-oltp_write_only-0.6
159,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,331.13,64-1000000-4-oltp_write_only-0.6
160,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,267.28,64-1000000-4-oltp_write_only-0.6
161,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,266.87,64-1000000-4-oltp_write_only-0.6
162,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,245.89,64-1000000-4-oltp_write_only-0.6
163,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,271.29,64-1000000-4-oltp_write_only-0.6
164,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,317.39,64-1000000-4-oltp_write_only-0.6
165,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,274.67,64-1000000-4-oltp_write_only-0.6
166,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,320.63,64-1000000-4-oltp_write_only-0.6
167,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,267.83,64-1000000-4-oltp_write_only-0.6
168,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,272.23,64-1000000-4-oltp_write_only-0.6
169,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,284.79,64-1000000-4-oltp_write_only-0.6
170,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,276.02,64-1000000-4-oltp_write_only-0.6
171,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,274.27,64-1000000-4-oltp_write_only-0.6
172,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,274.38,64-1000000-4-oltp_write_only-0.6
173,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,285.73,64-1000000-4-oltp_write_only-0.6
174,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,295.7,64-1000000-4-oltp_write_only-0.6
175,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,275.61,64-1000000-4-oltp_write_only-0.6
176,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,294.99,64-1000000-4-oltp_write_only-0.6
177,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,352.1,64-1000000-4-oltp_write_only-0.6
178,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,340.58,64-1000000-4-oltp_write_only-0.6
179,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,238.2,64-1000000-4-oltp_write_only-0.6
180,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,268.92,64-1000000-4-oltp_write_only-0.6
181,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,268.6,64-1000000-4-oltp_write_only-0.6
182,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,271.09,64-1000000-4-oltp_write_only-0.6
183,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,272.72,64-1000000-4-oltp_write_only-0.6
184,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,260.44,64-1000000-4-oltp_write_only-0.6
185,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,258.04,64-1000000-4-oltp_write_only-0.6
186,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,259.85,64-1000000-4-oltp_write_only-0.6
187,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,194.53,64-1000000-4-oltp_write_only-0.6
188,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,273.6,64-1000000-4-oltp_write_only-0.6
189,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,302.47,64-1000000-4-oltp_write_only-0.6
190,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,297.85,64-1000000-4-oltp_write_only-0.6
191,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,270.3,64-1000000-4-oltp_write_only-0.6
192,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,281.07,64-1000000-4-oltp_write_only-0.6
193,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,279.48,64-1000000-4-oltp_write_only-0.6
