id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write),workload_label,parameter_importance
2711,1,2,2,1,1,0,5000,1,25,100,0.048,4000,236.45,13.608671951595696,97.72095284016868,28913,7075.32,43.2199999988079,943.2,943.16,99974.86,1414.84,2003.98,5826.3,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2712,1,2,2,1,1,0,10000,1,25,100,0.048,4000,242.93,13.612543010753996,97.71039270320291,31098,7293.360000000001,43.059999994933605,972.18,972.2,103057.62,1458.28,2096.2200000000003,5543.72,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2713,1,2,2,1,1,1,100,1,25,100,0.048,4000,205.59,13.437517574973768,97.66157781215108,24323,6164.76,44.1600000038743,821.84,821.86,87101.5,1232.62,1730.7,6551.4400000000005,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2714,1,2,2,1,1,1,1024,1,25,100,0.048,4000,205.28,13.56988832116059,97.72979162161906,25118,6197.68,47.24000000208616,826.1,826.14,87575.02,1239.06,1704.24,6470.56,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2715,1,2,2,1,1,1,5000,1,25,100,0.048,4000,219.48,13.619311277710024,97.72650221651516,28206,6560.22,39.97999999672174,874.6,874.64,92678.78,1311.9,1859.32,6008.92,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2716,1,2,2,1,1,1,10000,1,25,100,0.048,4000,222.67,13.60548258838979,97.70348267789248,30523,6694.14,45.02000000327825,892.3000000000001,892.34,94586.38,1338.56,1934.66,5674.54,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2717,1,2,2,1,1,0,1024,1,25,100,0.048,4000,222.36,13.434425596903935,97.65354251752862,25345,6756.4800000000005,50.62000000476837,900.66,900.66,95472.02,1351.02,1890.6,6385.08,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2718,1,2,2,1,1,0,1024,2,25,100,0.048,4000,250.89,13.443117220297111,97.5820954362822,23935,7514.56,44.79999999701977,1001.78,1001.76,106189.82,1502.64,2126.64,7003.34,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2719,1,2,2,1,1,0,1024,4,25,100,0.048,4000,270.5,13.426293938043088,97.55964730783374,21735,8143.76,46.96000000089406,1085.58,1085.6,115075.9,1628.4,2371.06,8004.72,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
2720,1,2,2,1,1,0,1024,8,25,100,0.048,4000,265.02,13.427462559675789,97.53897310187692,20304,7956.16,47.60000000149011,1060.52,1060.48,112434.46,1590.88,2345.6200000000003,7898.680000000001,64-1000000-4-oltp_read_write_50-1.0,"[0.14668439126338711, 0.05356321895463577, 0.08148954197014999, 0.07922791177053295, 0.045401020363392365, 0.05912450193855961, 0.049116263707334865, 0.09074862712043161, 0.08730590217625019, 0.05195372528564695, 0.17661263444354605, 0.07877226100613248]"
