innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
3GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1544.79,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1581.53,oltp_read_only,64,1000000,4
4GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1781.98,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1609.97,oltp_read_only,64,1000000,4
6GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1840.18,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1792.79,oltp_read_only,64,1000000,4
8GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1903.86,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1880.56,oltp_read_only,64,1000000,4
9GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1968.27,oltp_read_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2010.11,oltp_read_only,64,1000000,4
12GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,2118.99,oltp_read_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2076.75,oltp_read_only,64,1000000,4
16GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,2225.71,oltp_read_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2140.57,oltp_read_only,64,1000000,4
18GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,2202.59,oltp_read_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2142.44,oltp_read_only,64,1000000,4
24GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,2223.15,oltp_read_only,64,1000000,4
1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1467.58,oltp_read_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1503.47,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1410.03,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1549.58,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1511.11,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1527.72,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1718.80,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1729.92,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1660.81,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1748.02,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1775.32,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1886.83,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1941.50,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1947.73,oltp_read_only,64,1000000,4
12GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,1984.04,oltp_read_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2022.06,oltp_read_only,64,1000000,4
16GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,2139.70,oltp_read_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2091.33,oltp_read_only,64,1000000,4
