id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
72,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,450.05,64,1000000,4,oltp_read_only,0.6
73,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,444.84,64,1000000,4,oltp_read_only,0.6
74,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,442.12,64,1000000,4,oltp_read_only,0.6
75,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,448.71,64,1000000,4,oltp_read_only,0.6
76,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,449.61,64,1000000,4,oltp_read_only,0.6
77,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,445.81,64,1000000,4,oltp_read_only,0.6
78,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,438.37,64,1000000,4,oltp_read_only,0.6
79,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,448.07,64,1000000,4,oltp_read_only,0.6
80,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,451.58,64,1000000,4,oltp_read_only,0.6
81,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,450.65,64,1000000,4,oltp_read_only,0.6
82,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,430.86,64,1000000,4,oltp_read_only,0.6
83,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,447.14,64,1000000,4,oltp_read_only,0.6
84,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,453.08,64,1000000,4,oltp_read_only,0.6
85,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,454.92,64,1000000,4,oltp_read_only,0.6
86,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,445.39,64,1000000,4,oltp_read_only,0.6
87,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,447.88,64,1000000,4,oltp_read_only,0.6
88,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,440.92,64,1000000,4,oltp_read_only,0.6
89,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,444.40,64,1000000,4,oltp_read_only,0.6
90,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,360.52,64,1000000,4,oltp_read_only,0.6
91,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,444.59,64,1000000,4,oltp_read_only,0.6
92,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,451.08,64,1000000,4,oltp_read_only,0.6
93,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,451.38,64,1000000,4,oltp_read_only,0.6
94,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,881.74,64,1000000,4,oltp_read_only,1.0
95,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,973.42,64,1000000,4,oltp_read_only,1.0
96,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1047.01,64,1000000,4,oltp_read_only,1.0
97,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1103.94,64,1000000,4,oltp_read_only,1.0
98,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1161.32,64,1000000,4,oltp_read_only,1.0
99,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1206.83,64,1000000,4,oltp_read_only,1.0
100,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1226.27,64,1000000,4,oltp_read_only,1.0
101,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1223.71,64,1000000,4,oltp_read_only,1.0
102,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,885.35,64,1000000,4,oltp_read_only,1.0
103,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,894.93,64,1000000,4,oltp_read_only,1.0
104,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,897.04,64,1000000,4,oltp_read_only,1.0
105,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,889.56,64,1000000,4,oltp_read_only,1.0
106,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,885.73,64,1000000,4,oltp_read_only,1.0
107,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,886.53,64,1000000,4,oltp_read_only,1.0
108,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,890.13,64,1000000,4,oltp_read_only,1.0
109,1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,888.31,64,1000000,4,oltp_read_only,1.0
110,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,889.36,64,1000000,4,oltp_read_only,1.0
111,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,889.73,64,1000000,4,oltp_read_only,1.0
112,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,897.94,64,1000000,4,oltp_read_only,1.0
113,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,885.55,64,1000000,4,oltp_read_only,1.0
114,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,899.02,64,1000000,4,oltp_read_only,1.0
115,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,895.06,64,1000000,4,oltp_read_only,1.0
116,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,893.89,64,1000000,4,oltp_read_only,1.0
117,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,893.01,64,1000000,4,oltp_read_only,1.0
