innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
4GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,186.03,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,188.99,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.55,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,191.36,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,189.52,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,187.43,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.12,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,188.18,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,187.39,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,191.12,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.45,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,189.67,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,188.75,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,190.03,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,187.80,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,191.64,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,189.30,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,full,OFF,186.90,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,full,OFF,190.17,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.59,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,full,OFF,187.63,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,full,OFF,188.72,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,full,OFF,189.09,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.41,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,full,OFF,189.04,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,full,OFF,189.78,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,full,OFF,188.77,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.15,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,full,OFF,188.77,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,full,OFF,188.08,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,full,OFF,189.93,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.51,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,full,OFF,192.39,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.12,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
