id,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time),MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record),MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label,mem_size,num_cpu
10,95.21398075481515,2.114032758984519,0,0.0,0.0977350915345948,0,0.5539079489995349,1.7967346478628143,3.26258273703533,6562566144,201146351616,0,0,0.0014262656946393,0,0,0,88.21077635266452,7013.400000000001,130438,0,634,0,75.838067046146,0,0,5.666666666666667,5,6,5,5,151,0,0,0,0.4000400040004001,0,0,0,0,0,0,0,226.22262226222625,0,113.31133113311331,0,0,181423.18,0,2137096192,16777216,8388608,179318.64,17544066.96,79,2,16384,384,4000,0,0,1752.98,0,0.62,0,0,0,87644.22,876.48,112,2000,0,0.2,0,0.2,6135.4800000000005,0.9999674037759466,0.2,0.0,0,0,438.64,0,9,0,6573.72,0,0,0,0,,438.24,438.24,6135.78,0.1,6573.7,,96,2.4539710762808253,46992093184,0.1,0.1,,0.1,0.1,9239726.968157453,9237449.415953277,7288.683094647572,4.000320025602049,93.84550764060008,2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,440.6,64-1000000-4-oltp_read_only-0.2,190,88
11,95.20073742503784,2.056963176018525,0,0.0,0.099541472886538,0,0.610430128249436,1.773792684656167,3.27171974193368,6580944896,201146351616,0,0,0.0014260468479021,0,0,0,88.1840143907729,6829.46,130487,0,585,0,44.1422343102923,0,0,5.833333333333333,5,6,5,5,151,0,0,0,0.36,0,0,0,0,0,0,0,200.64,0,100.46,0,0,176659.78,0,2137899008,16777216,8388608,174608.42,17083778.54,79,2,16384,384,4000,0,0,1706.98,0,0.62,0,0,0,85342.02,853.48,112,2000,0,0.22,0,0.22,5974.42,0.9999631776977356,0.22,0.0,0,0,427.14,0,9,0,6401.18,0,0,0,0,,426.74,426.74,5974.72,0.12,6401.18,,95,2.454031823015368,46993256448,,,,,,9000066.607335707,8997773.98904044,7111.415543378265,4.9998000079996805,92.9322827086786,2GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,435.75,64-1000000-4-oltp_read_only-0.2,190,88
12,95.23750000000425,2.0102272727272927,0,0.0,0.1050000000000017,0,0.6068181818181747,1.85068181818174,3.841749111488895,7727538176,201146351616,0,0,0.0014258244169062,0,0,0,89.30755339742159,7354.360000000001,195518,0,1090,0,52.82000000029803,0,0,5.833333333333333,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.32,0,113.4,0,0,190243.66,0,3203366912,16777216,8388608,188034.78,18397884.82,79,2,16384,385,4000,0,0,1838.22,0,0.62,0,0,0,91908.14,919.1,112,2000,0,0.2,0,0.2,6433.8,0.9999689151383276,0.2,0.0,0,0,459.98,0,9,0,6893.38,0,0,0,0,0.1,459.56,459.56,6434.12,0.1,6893.360000000001,,102,2.4540260477976417,46993145856,0.1,0.1,,0.1,0.1,9675188.879999999,9672915.59,6951.7,4.96,92.11200000008104,3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,456.51,64-1000000-4-oltp_read_only-0.2,190,88
13,95.20522727270144,2.019090909091072,0,0.0,0.1034090909090952,0,0.5950000000000499,1.84886363636408,3.836713271704255,7717408768,201146351616,0,0,0.0014255897392793,0,0,0,88.82751298764241,7400.82,195560,0,1048,0,43.86000000033528,0,0,5.666666666666667,5,6,5,5,151,0,0,0,0.3600216012960778,0,0,0,0,0,0,0,200.65203912234736,0,100.46602796167772,0,0,191447.86,0,3204055040,16777216,8388608,189225.18,18513675.52,79,2,16384,383,4000,0,0,1849.8,0,0.62,0,0,0,92484.88,924.88,112,2000,0,0.2,0,0.2,6474.6,0.999969111015012,0.2,0.0,0,0,462.86,0,9,0,6937.04,0,0,0,0,0.1,462.46,462.46,6474.92,0.1,6937.06,,101,2.4540095777322968,46992830464,0.1,0.1,,0.1,0.1,9729087.27,9726813.41,6992.92,5.28,92.73999999999069,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,461.58,64-1000000-4-oltp_read_only-0.2,190,88
14,95.27998254367506,2.013837747411177,0,0.0,0.1022829555682837,0,0.6007418923710595,1.857003882206616,3.8449604011534007,7733997568,201146351616,0,0,0.0014253374736126,0,0,0,88.8239758582893,7372.78,195600,0,1008,0,43.03430343038029,0,0,5.5,5,6,5,5,151,0,0,0,0.3998960270329714,0,0,0,0,0,0,0,225.9012656709256,0,113.07060164357269,0,0,190733.16,0,3204710400,16777216,8388608,188505.86,18444851.12,79,2,16384,384,4000,0,0,1842.88,0,0.66,0,0,0,92145.42,921.48,112,2000,0,0.22,0,0.22,6449.8,0.9999658915786308,0.22,0.0,0,0,461.18,0,9,0,6910.6,0,0,0,0,,460.72,460.74,6450.12,0.12,6910.54,,99,2.4540519293289043,46993641472,,,,,,9722920.442044206,9720641.484148417,6966.356635663567,5.2205220522052205,92.3952395238928,3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,457.68,64-1000000-4-oltp_read_only-0.2,190,88
15,95.22136363643222,2.066590909091062,0,0.0,0.1100000000000084,0,0.5736363636363425,1.8786363636366403,3.861493350288612,7767252992,201146351616,0,0,0.0014251045907578,0,0,0,88.80394309628524,7492.360000000001,195650,0,958,0,80.29999999981374,0,0,5.833333333333333,5,6,5,5,151,0,0,0,0.44,0,0,0,0,0,0,0,251.76,0,126.14,0,0,193817.26,0,3205529600,16777216,8388608,191560.66,18742627.3,79,2,16384,384,4000,0,0,1872.72,0,0.66,0,0,0,93629.4,936.36,112,2000,0,0.22,0,0.22,6554.4800000000005,0.9999664362976184,0.22,0.0,0,0,468.62,0,9,0,7022.66,0,0,0,0,,468.16,468.16,6554.8,0.12,7022.64,,97,2.4540551377831954,46993702912,,,,,,9856848.99,9852019.569999998,7100.78,5.94,92.90999999991618,3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,465.66,64-1000000-4-oltp_read_only-0.2,190,88
16,95.2070454545107,2.0399999999999547,0,0.0,0.1040909090909174,0,0.5674999999999643,1.8597727272727205,3.839566167595194,7723147264,201146351616,0,0,0.0014248713130404,0,0,0,88.85897497778802,7454.832710037398,195499,0,1109,0,55.71999999973922,0,0,5.833333333333333,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.2,0,113.3,0,0,192851.668899866,0,3203055616,16777216,8388608,190602.24386536807,18648936.20382777,79,2,16384,401,4000,0,0,1863.4081955082693,0,0.5599664020158791,0,0,0,93169.6098234106,931.7240965542068,112,2000,0,0.1799892006479611,0,0.1799892006479611,6521.78869267844,0.9999724026272698,0.1799892006479611,0.0,0,0,466.2320260784353,0,9,0,6987.680739155651,0,0,0,0,0.0999940003599784,465.8720476771394,465.8720476771394,6522.08867467952,,6987.660740355579,,103,2.4540472235959565,46993551360,0.0999940003599784,0.0999940003599784,,0.0999940003599784,0.0999940003599784,9832338.72,9830204.530000001,7050.32,6.78,92.85800000000744,3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,466.04,64-1000000-4-oltp_read_only-0.2,190,88
17,95.21383262461254,2.000561784474926,0,0.0,0.1002212594516928,0,0.6004185203433317,1.850570783934675,3.836758070925967,7717498880,201146351616,0,0,0.0014246198003516,0,0,0,88.82948237910739,7346.16,195621,0,987,0,33.843969362620555,0,0,6.0,5,6,5,5,151,0,0,0,0.4399824007039719,0,0,0,0,0,0,0,251.7499300027999,0,126.13495460181592,0,0,190032.56,0,3205054464,16777216,8388608,187825.98,18377313.36,79,2,16384,399,4000,0,0,1836.18,0,0.6,0,0,0,91808.3,918.14,112,2000,0,0.2,0,0.2,6426.72,0.9999688808947366,0.2,0.0,0,0,459.48,0,9,0,6885.78,0,0,0,0,0.1,459.08,459.08,6427.02,0.1,6885.8,,99,2.454034817572704,46993313792,0.1,0.1,,0.1,0.1,9667578.335299881,9665304.971701698,6930.584164950104,5.039697618142911,92.37245765256694,3GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,458.16,64-1000000-4-oltp_read_only-0.2,190,88
18,95.25977272734,1.945454545454379,0,0.0,0.10886363636364,0,0.5963636363635973,1.929318181818193,4.412806826814915,8876199936,201146351616,0,0,0.0014243881811368,0,0,0,89.97799476614962,7919.6,260711,0,1433,0,35.54000000003725,0,0,5.5,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.08,0,113.2,0,0,204869.0,0,4271489024,16777216,8388608,202478.92,19810874.12,79,2,16384,398,4000,0,0,1979.44,0,0.6,0,0,0,98969.64,989.72,112,2000,0,0.2,0,0.16,6928.42,0.9999769072450632,0.16,0.0,0,0,495.26,0,9,0,7423.26,0,0,0,0,0.1,494.86,494.86,6928.68,0.1,7423.24,,102,2.4540418761721416,46993448960,0.1,,,0.1,0.1,10411615.46,10409330.09,6756.16,4.78,91.74399999994785,4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,491.96,64-1000000-4-oltp_read_only-0.2,190,88
19,95.26386363638186,1.922727272727384,0,0.0,0.1054545454545399,0,0.5974999999999712,1.944318181817989,4.418905629950771,8888467456,201146351616,0,0,0.0014241198806366,0,0,0,89.36101816715902,7852.982357882946,260909,0,1235,0,42.91999999992549,0,0,5.666666666666667,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.44,0,113.5,0,0,203154.3385206225,0,4274733056,16777216,8388608,200780.7136856423,19645438.012561508,79,2,16384,385,4000,0,0,1962.895547465696,0,0.6600792095051407,0,0,0,98141.99703964476,981.457774932992,112,2000,0,0.2200264031683802,0,0.2200264031683802,6870.024402928351,0.9999679740065393,0.2200264031683802,0.0,0,0,491.1389366724007,0,9,0,7360.743289194704,0,0,0,0,,490.718886266352,490.718886266352,6870.34444133296,0.1200144017282073,7360.743289194704,,97,2.454067971600349,46993948672,,,,,,10325572.01,10323306.76,6669.9400000000005,3.78,91.79200000001585,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,492.16,64-1000000-4-oltp_read_only-0.2,190,88
